circuit,heuristic,conflict_count,diagnoses_count,nodes_expanded,runtime_s,conflicts,diagnoses
1,smallest_conflict,2,3,6,0.000032,"[['X2', 'X1'], ['O1', 'X1', 'A2']]","[['X1'], ['A2', 'X2'], ['O1', 'X2']]"
1,most_frequent,2,3,6,0.000038,"[['X2', 'X1'], ['O1', 'X1', 'A2']]","[['X1'], ['A2', 'X2'], ['O1', 'X2']]"
2,smallest_conflict,2,3,6,0.000018,"[['X2', 'X4'], ['X2', 'X3', 'X1']]","[['X2'], ['X1', 'X4'], ['X3', 'X4']]"
2,most_frequent,2,3,6,0.000020,"[['X2', 'X4'], ['X2', 'X3', 'X1']]","[['X2'], ['X1', 'X4'], ['X3', 'X4']]"
3,smallest_conflict,2,1,3,0.000010,"[['X'], ['A']]","[['A', 'X']]"
3,most_frequent,2,1,3,0.000010,"[['X'], ['A']]","[['A', 'X']]"
4,smallest_conflict,2,4,9,0.000032,"[['A1', 'O1', 'O2', 'A3'], ['A1', 'O2', 'A2', 'A3']]","[['A1'], ['A3'], ['O2'], ['A2', 'O1']]"
4,most_frequent,2,4,9,0.000029,"[['A1', 'O1', 'O2', 'A3'], ['A1', 'O2', 'A2', 'A3']]","[['A1'], ['A3'], ['O2'], ['A2', 'O1']]"
5,smallest_conflict,1,5,6,0.000027,"[['A1', 'A5', 'A3', 'A4', 'A2']]","[['A1'], ['A2'], ['A3'], ['A4'], ['A5']]"
5,most_frequent,1,5,6,0.000022,"[['A1', 'A5', 'A3', 'A4', 'A2']]","[['A1'], ['A2'], ['A3'], ['A4'], ['A5']]"
6,smallest_conflict,2,6,13,0.000042,"[['X1', 'A1', 'O2', 'O1', 'A3', 'A4'], ['X1', 'O2', 'O1', 'A3', 'A4', 'A2']]","[['A3'], ['A4'], ['O1'], ['O2'], ['X1'], ['A1', 'A2']]"
6,most_frequent,2,6,13,0.000039,"[['X1', 'A1', 'O2', 'O1', 'A3', 'A4'], ['X1', 'O2', 'O1', 'A3', 'A4', 'A2']]","[['A3'], ['A4'], ['O1'], ['O2'], ['X1'], ['A1', 'A2']]"
7,smallest_conflict,3,15,21,0.000075,"[['O5'], ['O3', 'A5', 'O4'], ['X1', 'A1', 'O2', 'O1', 'A3', 'A4', 'O3', 'A2']]","[['O3', 'O5'], ['A1', 'A5', 'O5'], ['A1', 'O4', 'O5'], ['A2', 'A5', 'O5'], ['A2', 'O4', 'O5'], ['A3', 'A5', 'O5'], ['A3', 'O4', 'O5'], ['A4', 'A5', 'O5'], ['A4', 'O4', 'O5'], ['A5', 'O1', 'O5'], ['A5', 'O2', 'O5'], ['A5', 'O5', 'X1'], ['O1', 'O4', 'O5'], ['O2', 'O4', 'O5'], ['O4', 'O5', 'X1']]"
7,most_frequent,3,15,21,0.000063,"[['O5'], ['O3', 'A5', 'O4'], ['X1', 'A1', 'O2', 'O1', 'A3', 'A4', 'O3', 'A2']]","[['O3', 'O5'], ['A1', 'A5', 'O5'], ['A1', 'O4', 'O5'], ['A2', 'A5', 'O5'], ['A2', 'O4', 'O5'], ['A3', 'A5', 'O5'], ['A3', 'O4', 'O5'], ['A4', 'A5', 'O5'], ['A4', 'O4', 'O5'], ['A5', 'O1', 'O5'], ['A5', 'O2', 'O5'], ['A5', 'O5', 'X1'], ['O1', 'O4', 'O5'], ['O2', 'O4', 'O5'], ['O4', 'O5', 'X1']]"
